total KP 
5116
bin time[s]
0.0001
time[s],counts
0.579399,6.000000
0.579499,4.000000
0.579599,6.000000
0.579699,8.000000
0.579799,5.000000
0.579899,6.000000
0.579999,5.000000
0.580099,4.000000
0.580199,5.000000
0.580299,4.000000
0.580399,6.000000
0.580499,4.000000
0.580599,4.000000
0.580699,1.000000
0.580799,3.000000
0.580899,4.000000
0.580999,7.000000
0.581099,4.000000
0.581199,5.000000
0.581299,4.000000
0.581399,4.000000
0.581499,6.000000
0.581599,6.000000
0.581699,4.000000
0.581799,5.000000
0.581899,4.000000
0.581999,4.000000
0.582099,2.000000
0.582199,6.000000
0.582299,4.000000
0.582399,4.000000
0.582499,2.000000
0.582599,5.000000
0.582699,4.000000
0.582799,4.000000
0.582899,3.000000
0.582999,5.000000
0.583099,1.000000
0.583199,5.000000
0.583299,9.000000
0.583399,6.000000
0.583499,5.000000
0.583599,3.000000
0.583699,6.000000
0.583799,2.000000
0.583899,2.000000
0.583999,8.000000
0.584099,4.000000
0.584199,10.000000
0.584299,2.000000
0.584399,6.000000
0.584499,0.000000
0.584599,5.000000
0.584699,6.000000
0.584799,4.000000
0.584899,5.000000
0.584999,11.000000
0.585099,3.000000
0.585199,3.000000
0.585299,5.000000
0.585399,7.000000
0.585499,7.000000
0.585599,2.000000
0.585699,5.000000
0.585799,7.000000
0.585899,9.000000
0.585999,1.000000
0.586099,4.000000
0.586199,1.000000
0.586299,5.000000
0.586399,6.000000
0.586499,4.000000
0.586599,3.000000
0.586699,10.000000
0.586799,3.000000
0.586899,4.000000
0.586999,6.000000
0.587099,1.000000
0.587199,1.000000
0.587299,7.000000
0.587399,6.000000
0.587499,8.000000
0.587599,3.000000
0.587699,7.000000
0.587799,3.000000
0.587899,2.000000
0.587999,3.000000
0.588099,0.000000
0.588199,5.000000
0.588299,6.000000
0.588399,5.000000
0.588499,4.000000
0.588599,3.000000
0.588699,3.000000
0.588799,7.000000
0.588899,5.000000
0.588999,4.000000
