total KP 
5116
x,y,time[s]
0.526923,0.276166,0.050543
0.507959,0.273611,0.053862
0.513834,0.286124,0.057548
0.523214,0.289880,0.045201
0.508462,0.273871,0.049010
0.527976,0.292564,0.051160
0.518405,0.270007,0.051738
0.516062,0.285571,0.054352
0.286986,0.184517,0.014654
0.506403,0.295533,0.046354
0.525701,0.295506,0.062318
0.502385,0.261760,0.063447
0.511509,0.309756,0.074388
0.512365,0.267012,0.044372
0.510309,0.288148,0.047686
0.430168,0.280961,0.049086
0.514897,0.284768,0.058932
0.515938,0.296137,0.075253
0.527938,0.279468,0.048211
0.539834,0.205682,0.050749
0.517123,0.320066,0.058636
0.521701,0.295918,0.003904
0.514230,0.287194,0.004301
0.445763,0.226974,0.047949
0.500608,0.306805,0.048173
0.508844,0.305882,0.060530
0.527778,0.289694,0.012489
0.496552,0.284281,0.050370
0.518448,0.272066,0.056720
0.516420,0.312747,0.060442
0.491335,0.276171,0.062643
0.535498,0.305515,0.070870
0.437393,0.243377,0.046907
0.524448,0.318631,0.048563
0.509491,0.292790,0.050551
0.513296,0.268331,0.052766
0.528764,0.241955,0.055370
0.509031,0.275969,0.059564
0.505443,0.272864,0.075427
0.519928,0.294014,0.002604
0.530806,0.277182,0.003616
0.514823,0.288207,0.048264
0.518389,0.282353,0.054965
0.515845,0.303082,0.062236
0.505917,0.308048,0.046767
0.496872,0.275300,0.050905
0.524436,0.299820,0.051395
0.533137,0.292683,0.066369
0.498836,0.305389,0.076815
0.515589,0.273661,0.004459
0.501114,0.274002,0.046506
0.536775,0.437543,0.051837
0.509982,0.295416,0.053201
0.488754,0.672468,0.053276
0.478439,0.265748,0.054814
0.524691,0.276692,0.056194
0.520325,0.264574,0.064888
0.506554,0.289167,0.065034
0.513023,0.291188,0.077249
0.510745,0.300138,0.013573
0.501823,0.306875,0.045544
0.511596,0.284416,0.046894
0.540914,0.246154,0.048314
0.519852,0.304624,0.050519
0.548410,0.366916,0.069949
0.513962,0.269818,0.046554
0.533993,0.273263,0.051840
0.517778,0.288873,0.059721
0.505863,0.304207,0.062201
0.511241,0.309620,0.066878
0.504444,0.264188,0.074025
0.503318,0.256856,0.043969
0.517736,0.288525,0.044897
0.508653,0.273115,0.045653
0.521231,0.304040,0.055969
0.515789,0.267218,0.058340
0.506550,0.271440,0.066600
0.531737,0.268966,0.077976
0.510154,0.315666,0.044375
0.525146,0.294702,0.047036
0.522107,0.310282,0.056889
0.510264,0.288732,0.059811
0.501859,0.281542,0.065474
0.510506,0.294118,0.000089
0.512676,0.304426,0.005093
0.519824,0.288920,0.053650
0.507734,0.283725,0.055665
0.394200,0.228718,0.063645
0.500557,0.302575,0.066696
0.526515,0.261969,0.008414
0.517660,0.272923,0.057488
0.486291,0.270233,0.061076
0.501055,0.287910,0.061655
0.516729,0.280148,0.044890
0.493590,0.284000,0.046428
0.513267,0.299525,0.047625
0.503951,0.320890,0.048802
0.528162,0.296827,0.052209
0.508909,0.278013,0.056630
0.498291,0.304674,0.057005
0.525765,0.284268,0.065359
0.510186,0.302799,0.069387
0.514241,0.298938,0.045853
0.514793,0.305709,0.065046
0.516624,0.283416,0.045508
0.616071,0.210156,0.049098
0.508065,0.292636,0.049200
0.521385,0.298817,0.056982
0.503165,0.280899,0.001100
